PM,Lat,Lot
69.24267578,60.14239502,25.03602028
32.13519669,60.14600372,24.88968849
31.16912460,60.14780807,24.87884903
35.08208084,60.15051270,24.88788223
39.75172806,60.15051270,24.92943382
35.15419769,60.15322113,24.94749832
144.43426514,60.15412140,24.83368683
31.03957939,60.15412140,24.86259079
40.52948380,60.15412140,24.87704277
42.61146545,60.15412140,24.90594864
33.23762894,60.15412140,24.95653152
32.65577316,60.15502548,24.88607597
42.11364365,60.15502548,24.93846703
78.20825958,60.15773010,24.93124008
31.34762383,60.15863037,24.95111275
36.34765244,60.16133881,24.88968849
36.75460815,60.16223907,24.86259079
32.46814728,60.16223907,24.87523651
32.60056686,60.16223907,24.94388580
51.34103012,60.16223907,25.05227852
30.40691185,60.16314316,24.92582130
34.67480850,60.16314316,24.95291901
30.74753761,60.16404343,25.01614761
30.42392921,60.16584778,24.83910561
30.16198540,60.16675186,24.93846703
34.31718826,60.16765213,24.96917725
32.71945190,60.16855621,25.01976204
113.04687500,60.16855621,25.05047226
31.16186905,60.16945648,24.94930649
30.38831711,60.17035675,24.92220688
34.15164185,60.17216110,24.93124008
31.29722404,60.17306519,24.94388580
35.97829437,60.17396545,24.85536385
36.10020065,60.17396545,24.90594864
62.90667343,60.17396545,24.98001671
33.73182678,60.17486954,24.91678810
60.38911057,60.17757416,24.88246346
37.24133301,60.17757416,24.93665886
34.00010681,60.17757416,25.02518082
37.68563080,60.17847824,24.92762756
60.91254425,60.17937851,24.85897827
31.13516235,60.17937851,24.91678810
45.23091125,60.18028259,24.83368683
32.11024857,60.18028259,24.84452629
42.99198532,60.18118286,24.99808311
32.17512131,60.18208694,24.94207954
52.22064972,60.18298721,24.92220688
31.33473778,60.18298721,24.96014595
35.50128174,60.18388748,24.86078453
63.71776962,60.18388748,24.93304634
34.14014816,60.18388748,25.05589294
43.74098206,60.18569183,25.04324722
38.39750290,60.18659592,24.91136742
38.08382797,60.18659592,24.94027328
68.58348083,60.18659592,25.03240776
61.39302063,60.18840027,24.88607597
56.69146729,60.19020462,24.87343025
32.68137360,60.19020462,24.91678810
58.08100891,60.19020462,24.93304634
45.59588623,60.19020462,24.97279167
46.25112152,60.19200897,25.02698708
36.67450714,60.19290924,24.94569206
40.52768707,60.19381332,24.98001671
46.37791824,60.19471359,24.90594864
38.72982407,60.19561768,24.92220688
34.25355530,60.19651794,24.89691544
31.77012825,60.19651794,25.03421402
53.82522583,60.19832230,24.87162399
33.38825226,60.19922256,24.85897827
54.60949707,60.19922256,24.98001671
44.97479248,60.20012665,24.91498184
35.81036758,60.20012665,24.93665886
38.61524963,60.20102692,25.03602028
30.41698265,60.20193100,24.89691544
32.58192444,60.20193100,24.92762756
112.34170532,60.20283127,24.85175133
73.74182129,60.20283127,25.05227852
32.54702759,60.20463562,24.87162399
36.90543365,60.20463562,24.97459793
51.75851059,60.20553970,24.86078453
32.38195038,60.20553970,24.91136742
34.29545593,60.20553970,24.92220688
34.64528656,60.20734406,24.83549309
37.85581207,60.20914841,24.87162399
41.80728912,60.20914841,24.88426971
37.11887741,60.20914841,24.93124008
37.76611328,60.21004868,24.91317368
33.29426193,60.21094894,24.90414238
34.64995575,60.21094894,25.03782654
38.64367676,60.21275330,24.85897827
50.91394806,60.21365738,24.92220688
32.47436142,60.21455765,24.88788223
41.15948105,60.21455765,24.90956116
34.53012848,60.21455765,25.05950546
38.73508835,60.21726608,24.85536385
33.81962204,60.21726608,24.91678810
112.94337463,60.21726608,24.98543739
34.64311218,60.21816635,24.86620331
41.10201263,60.21816635,24.90233612
31.70805550,60.21816635,24.97459793
36.12584305,60.21907043,25.04685974
40.24377441,60.21997070,24.84271812
46.88683319,60.22177505,24.85355759
47.81048203,60.22177505,24.88607597
36.87390518,60.22177505,24.95291901
44.53655624,60.22177505,24.98182297
47.52288055,60.22267914,24.86620331
38.21676254,60.22267914,24.92220688
48.72537613,60.22538376,24.84271812
41.45927429,60.22628403,24.85717201
49.06727219,60.22628403,24.90414238
50.95965576,60.22718811,24.92401314
37.01029968,60.22718811,24.98724365
36.17493439,60.22718811,25.02156830
30.50908470,60.22718811,25.05227852
133.20079041,60.22808838,24.83368683
36.97849655,60.22808838,24.93304634
61.52737045,60.22899246,24.88607597
39.18596268,60.22899246,24.95833778
183.00624084,60.22899246,24.99627686
39.31544876,60.22899246,25.03240776
39.73960114,60.22989273,24.90956116
35.82728195,60.23079681,24.84813881
38.80436707,60.23079681,24.89510918
30.71875572,60.23169708,24.92220688
36.00151825,60.23169708,25.02156830
53.22321320,60.23260117,24.98363113
57.24986267,60.23260117,25.05047226
37.47982025,60.23350143,24.83187866
37.22369003,60.23440552,24.90775490
49.34355164,60.23440552,24.95833778
56.07054520,60.23530579,25.01253510
45.44245148,60.23530579,25.02879333
37.78939819,60.23620987,24.85355759
40.36225891,60.23711014,24.83910561
33.37694550,60.23711014,24.94207954
34.66302872,60.23801422,24.86439705
34.67529678,60.23801422,24.89330292
30.42852974,60.23801422,24.98363113
33.72628784,60.23891449,24.87343025
43.14678574,60.23891449,24.90594864
59.31290436,60.23891449,24.95833778
34.18426514,60.23891449,24.99266243
34.39059830,60.23891449,25.00350189
30.43915367,60.23981476,24.97459793
35.91607666,60.24071884,24.91498184
36.01099777,60.24161911,24.83729935
42.39183044,60.24161911,24.85355759
30.20562553,60.24252319,24.89510918
33.71143341,60.24252319,24.93304634
36.09280014,60.24252319,25.00892258
36.81287384,60.24522781,24.83187866
30.26363754,60.24522781,24.98904991
41.36921692,60.24522781,25.02518082
34.11774826,60.24613190,25.05047226
34.30721283,60.24703217,24.89149666
45.79998398,60.24703217,24.90233612
46.25133896,60.24703217,24.93304634
