PM,Lat,Lot
36.23632812,60.14239502,24.99446869
69.24267578,60.14239502,25.03602028
32.13519669,60.14600372,24.88968849
31.16912460,60.14780807,24.87884903
35.08208084,60.15051270,24.88788223
39.75172806,60.15051270,24.92943382
32.91983414,60.15141678,24.87704277
30.84009361,60.15141678,24.88607597
39.84084702,60.15231705,24.88788223
35.15419769,60.15322113,24.94749832
144.43426514,60.15412140,24.83368683
31.03957939,60.15412140,24.86259079
40.59433746,60.15412140,24.86801147
40.52948380,60.15412140,24.87704277
31.77637863,60.15412140,24.88788223
42.61146545,60.15412140,24.90594864
30.15494347,60.15412140,24.94207954
33.23762894,60.15412140,24.95653152
37.67290115,60.15412140,24.99627686
62.30679703,60.15502548,24.85717201
35.14565277,60.15502548,24.85897827
42.23992538,60.15502548,24.86078453
32.94463348,60.15502548,24.86259079
32.65737915,60.15502548,24.86801147
54.36984634,60.15502548,24.88065720
34.76807404,60.15502548,24.88426971
32.65577316,60.15502548,24.88607597
42.11364365,60.15502548,24.93846703
35.08803940,60.15502548,24.94388580
45.59651184,60.15502548,24.94569206
32.73287582,60.15502548,24.94749832
33.98838806,60.15592575,24.85536385
49.96807098,60.15592575,24.85897827
31.97830963,60.15592575,24.86078453
48.75828934,60.15592575,24.88065720
32.67242813,60.15592575,24.93124008
38.26101303,60.15592575,24.95833778
35.51932526,60.15592575,24.96014595
33.11812210,60.15682602,24.94749832
32.61407852,60.15682602,24.95291901
36.44624710,60.15682602,24.95653152
34.23139191,60.15773010,24.88065720
78.20825958,60.15773010,24.93124008
80.06303406,60.15773010,24.96014595
35.74176788,60.15773010,24.98363113
39.44448853,60.15863037,24.93665886
31.34762383,60.15863037,24.95111275
30.04894829,60.15863037,24.95291901
32.20524597,60.15953445,24.93124008
33.69649887,60.15953445,24.93485260
32.99921799,60.15953445,24.93665886
32.56128693,60.15953445,24.93846703
31.03404236,60.16043472,24.93304634
33.41616440,60.16043472,24.94388580
36.34765244,60.16133881,24.88968849
31.71690559,60.16133881,24.93124008
30.92462540,60.16133881,24.93485260
30.68412590,60.16133881,24.94749832
53.45258331,60.16133881,24.95111275
62.75908279,60.16133881,24.95291901
33.51239777,60.16133881,24.95472527
36.75460815,60.16223907,24.86259079
32.46814728,60.16223907,24.87523651
34.81160355,60.16223907,24.87884903
30.11121750,60.16223907,24.88065720
36.56873322,60.16223907,24.88968849
32.60056686,60.16223907,24.94388580
31.38454437,60.16223907,24.94569206
37.52523041,60.16223907,24.95111275
51.34103012,60.16223907,25.05227852
30.85289192,60.16314316,24.88426971
30.40691185,60.16314316,24.92582130
34.67480850,60.16314316,24.95291901
30.31307793,60.16404343,24.86801147
34.07000351,60.16404343,24.87884903
39.82440567,60.16404343,24.88607597
33.75292587,60.16404343,24.94749832
30.74753761,60.16404343,25.01614761
30.65977097,60.16494751,24.94207954
30.92085648,60.16494751,24.94388580
30.42392921,60.16584778,24.83910561
50.18700790,60.16584778,24.86078453
30.16198540,60.16675186,24.93846703
31.01854324,60.16675186,24.94388580
31.05198479,60.16675186,24.95111275
34.31718826,60.16765213,24.96917725
34.29697418,60.16855621,24.97279167
32.71945190,60.16855621,25.01976204
113.04687500,60.16855621,25.05047226
31.16186905,60.16945648,24.94930649
30.38831711,60.17035675,24.92220688
30.43579292,60.17035675,24.94930649
32.23638153,60.17035675,25.02156830
34.35005951,60.17216110,24.92582130
30.28410339,60.17216110,24.92762756
34.15164185,60.17216110,24.93124008
45.29085541,60.17306519,24.92582130
31.29722404,60.17306519,24.94388580
35.97829437,60.17396545,24.85536385
36.10020065,60.17396545,24.90594864
35.94605255,60.17396545,24.94207954
62.90667343,60.17396545,24.98001671
60.58919525,60.17486954,24.85897827
33.73182678,60.17486954,24.91678810
30.15875816,60.17486954,24.92943382
33.98823547,60.17486954,24.94388580
30.45780945,60.17576981,24.85175133
60.52225494,60.17576981,24.91136742
32.94989777,60.17576981,24.92943382
46.22385788,60.17667389,24.85355759
59.09477234,60.17667389,24.87162399
60.38911057,60.17757416,24.88246346
31.83111954,60.17757416,24.92040062
37.24133301,60.17757416,24.93665886
30.28007126,60.17757416,24.94207954
32.43938828,60.17757416,24.94569206
34.00010681,60.17757416,25.02518082
37.68563080,60.17847824,24.92762756
60.91254425,60.17937851,24.85897827
31.13516235,60.17937851,24.91678810
31.66992378,60.17937851,24.92582130
45.23091125,60.18028259,24.83368683
32.11024857,60.18028259,24.84452629
37.81925201,60.18028259,24.85355759
30.40019608,60.18028259,24.92943382
30.39233780,60.18118286,24.84813881
34.63270187,60.18118286,24.92401314
42.99198532,60.18118286,24.99808311
32.86207962,60.18208694,24.84813881
32.17512131,60.18208694,24.94207954
30.53832626,60.18298721,24.84994507
30.48745537,60.18298721,24.91678810
52.22064972,60.18298721,24.92220688
32.14447403,60.18298721,24.92762756
30.34766388,60.18298721,24.94207954
30.90695000,60.18298721,24.94569206
31.33473778,60.18298721,24.96014595
35.50128174,60.18388748,24.86078453
33.22283173,60.18388748,24.86259079
63.71776962,60.18388748,24.93304634
34.14014816,60.18388748,25.05589294
32.28696442,60.18479156,24.86620331
32.39307785,60.18479156,24.92943382
31.00049019,60.18479156,24.94027328
35.12036133,60.18479156,24.94207954
30.06521606,60.18479156,25.05408669
35.51669312,60.18569183,24.94388580
43.74098206,60.18569183,25.04324722
30.38224411,60.18569183,25.05047226
39.81484604,60.18659592,24.86259079
38.39750290,60.18659592,24.91136742
87.18013763,60.18659592,24.93304634
38.08382797,60.18659592,24.94027328
68.58348083,60.18659592,25.03240776
36.17923355,60.18749619,24.91678810
35.90143967,60.18749619,24.92943382
43.09048462,60.18749619,24.93846703
30.15674973,60.18749619,25.03421402
61.39302063,60.18840027,24.88607597
33.67151260,60.18840027,24.93665886
34.36213303,60.18930054,24.94027328
34.80477905,60.18930054,24.94388580
56.69146729,60.19020462,24.87343025
32.68137360,60.19020462,24.91678810
58.08100891,60.19020462,24.93304634
33.70670700,60.19020462,24.93665886
31.39714432,60.19020462,24.94027328
45.59588623,60.19020462,24.97279167
50.15813065,60.19110489,24.92762756
44.89507294,60.19110489,24.98001671
36.68283081,60.19200897,24.92040062
39.72568893,60.19200897,24.92401314
46.25112152,60.19200897,25.02698708
32.18478775,60.19290924,24.93124008
58.94655228,60.19290924,24.93846703
36.67450714,60.19290924,24.94569206
34.16164398,60.19381332,24.93124008
40.52768707,60.19381332,24.98001671
35.16878128,60.19381332,24.98182297
46.37791824,60.19471359,24.90594864
44.56964111,60.19471359,25.02337456
39.21493149,60.19561768,24.90414238
38.72982407,60.19561768,24.92220688
34.25355530,60.19651794,24.89691544
44.22890091,60.19651794,24.90052795
33.70734024,60.19651794,24.91498184
33.82501221,60.19651794,24.98001671
40.84877014,60.19651794,24.98363113
31.77012825,60.19651794,25.03421402
76.44429779,60.19741821,24.83368683
46.27938461,60.19741821,25.02879333
53.82522583,60.19832230,24.87162399
32.72779465,60.19832230,24.87884903
39.35897827,60.19832230,24.91678810
38.52566147,60.19832230,24.92220688
30.03942680,60.19832230,24.92582130
39.51110458,60.19832230,25.03602028
33.38825226,60.19922256,24.85897827
