PM,Lat,Lot
3.72715902,60.13608170,25.03602028
5.72400284,60.13698196,25.03421402
1.19255745,60.13878632,24.98904991
7.46827650,60.13878632,25.03421402
4.03419971,60.13878632,25.03963280
5.73165655,60.13878632,25.04144096
6.58165741,60.13878632,25.04324722
4.76931190,60.13969040,24.91678810
6.97947979,60.13969040,24.98904991
10.54488277,60.13969040,24.99085617
3.43104601,60.13969040,25.03240776
4.21152925,60.13969040,25.03963280
11.87206554,60.13969040,25.04505348
0.95788509,60.14059067,24.98724365
4.02603674,60.14059067,24.98904991
7.40325117,60.14059067,24.99085617
3.46589470,60.14059067,25.00530815
12.04305649,60.14059067,25.00711632
1.73592448,60.14059067,25.03963280
3.69657111,60.14059067,25.04685974
1.09433806,60.14149094,24.98363113
4.20796633,60.14149094,24.98724365
7.16870356,60.14149094,24.99085617
3.12935543,60.14149094,24.99266243
7.58674812,60.14149094,24.99446869
0.10877005,60.14149094,24.99627686
1.21406651,60.14149094,24.99988937
1.86526334,60.14149094,25.00169563
1.04587173,60.14149094,25.00350189
1.30652726,60.14149094,25.00530815
7.83898926,60.14149094,25.03240776
7.59303379,60.14149094,25.03963280
15.37455559,60.14149094,25.04685974
2.22974563,60.14149094,25.04866600
1.18214583,60.14149094,25.05047226
3.81724048,60.14239502,24.98363113
4.99536371,60.14239502,24.98904991
0.88499945,60.14239502,24.99085617
5.82201576,60.14239502,24.99266243
36.23632812,60.14239502,24.99446869
0.93606293,60.14239502,25.03421402
69.24267578,60.14239502,25.03602028
6.80745602,60.14239502,25.04144096
10.78788948,60.14239502,25.04324722
7.43638611,60.14239502,25.04505348
7.90912104,60.14239502,25.04685974
3.02006054,60.14239502,25.04866600
15.17764568,60.14239502,25.05047226
1.11681139,60.14329529,24.98363113
1.56897557,60.14329529,24.98543739
1.65424728,60.14329529,24.98724365
5.62110519,60.14329529,24.98904991
0.75331765,60.14329529,24.99085617
7.99460506,60.14329529,25.00350189
4.96107340,60.14329529,25.03421402
7.65432835,60.14329529,25.03602028
3.40136576,60.14329529,25.03782654
2.47527885,60.14329529,25.03963280
4.80871296,60.14329529,25.04144096
4.99655962,60.14329529,25.05047226
6.94232893,60.14329529,25.05227852
3.99962521,60.14329529,25.05408669
5.36984921,60.14419937,24.96917725
0.79528141,60.14419937,24.98001671
7.78007984,60.14419937,24.98182297
1.11940479,60.14419937,24.98363113
5.41224480,60.14419937,24.98543739
5.28296375,60.14419937,24.98724365
7.52510786,60.14419937,24.98904991
2.30572534,60.14419937,24.99085617
3.55390024,60.14419937,25.03421402
10.61205578,60.14419937,25.03782654
8.01439476,60.14419937,25.03963280
13.67484665,60.14419937,25.04144096
6.95593023,60.14419937,25.05047226
1.33398581,60.14509964,24.98001671
1.47313583,60.14509964,24.98182297
1.20047319,60.14509964,24.98363113
1.00248015,60.14509964,24.98543739
5.05935240,60.14509964,24.98724365
1.25541914,60.14509964,24.98904991
7.38179970,60.14509964,24.99085617
1.86137688,60.14509964,24.99266243
25.59339714,60.14509964,24.99627686
4.03450823,60.14509964,25.00169563
1.43269491,60.14509964,25.00350189
0.78746253,60.14509964,25.03240776
8.34220314,60.14509964,25.03782654
10.86137581,60.14509964,25.03963280
9.43049908,60.14509964,25.04144096
13.00478268,60.14600372,24.88065720
15.67754841,60.14600372,24.88426971
11.68413830,60.14600372,24.88607597
32.13519669,60.14600372,24.88968849
3.53880262,60.14600372,24.98001671
3.83159494,60.14600372,24.98182297
0.19740951,60.14600372,24.98363113
7.98678684,60.14600372,24.98724365
6.86025000,60.14600372,24.98904991
